,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
123,1,0,3.9,169,48,11,312,150.0,8242
124,1,0,3.0,67,48,73,1649,250.0,8242
125,1,0,3.7,97,31,73,1894,350.0,8242
126,1,0,3.3,12,4,86,333,300.0,8242
127,1,0,3.3,12,1,73,333,300.0,4861
128,1,0,3.6,195,31,24,825,800.0,8242
129,1,0,3.3,13,4,44,1065,300.0,8242
130,1,0,4.6,228,31,16,506,400.0,8242
131,1,0,4.1,70,4,73,2176,150.0,2846
132,1,1,4.1,364,31,24,2347,1200.0,8242
133,1,0,3.7,107,4,11,303,150.0,8242
134,1,0,3.2,167,48,73,2232,300.0,6813
135,1,0,4.0,115,1,83,1531,400.0,8242
136,1,0,3.7,27,1,86,1359,400.0,8242
137,1,0,3.5,57,1,73,333,200.0,8242
138,1,0,3.8,120,1,73,1830,250.0,8242
139,1,0,3.8,15,4,0,222,400.0,8242
140,1,0,4.2,64,4,73,2091,500.0,8242
141,1,0,3.6,66,1,73,2149,150.0,8242
142,1,0,3.0,290,1,73,1676,450.0,8242
143,1,0,4.1,233,4,73,2278,200.0,8242
144,1,0,3.8,115,48,73,1178,250.0,8242
145,1,0,3.1,119,1,24,336,700.0,8242
146,1,1,3.9,291,31,16,517,650.0,4499
147,1,0,4.5,155,31,11,322,300.0,8242
148,1,0,4.1,305,48,24,1318,700.0,8242
149,1,0,3.6,46,1,73,1154,500.0,8242
150,1,0,3.5,45,48,73,267,350.0,8242
151,1,0,3.9,38,1,37,1295,150.0,8242
152,1,0,3.9,441,1,73,2227,400.0,8242
153,1,0,3.9,25,4,73,2149,100.0,5142
154,1,0,4.3,630,31,73,2001,200.0,8242
155,1,0,3.8,25,48,73,2149,150.0,1165
156,1,0,3.9,160,48,73,107,300.0,8242
157,1,0,4.2,287,1,73,1585,350.0,8242
158,1,0,3.6,11,4,73,2149,100.0,234
159,1,0,4.1,402,1,16,475,500.0,8242
160,1,0,3.8,469,4,24,1669,750.0,8242
161,1,0,3.3,511,48,24,209,550.0,8242
162,1,0,3.9,57,1,73,2238,200.0,4455
163,1,0,3.4,14,1,73,2149,300.0,8242
164,1,0,3.9,264,1,73,2149,200.0,8242
165,1,0,3.0,62,1,16,611,400.0,8242
166,1,0,3.8,693,1,24,2034,750.0,8242
167,1,0,3.8,242,31,24,1489,650.0,8242
168,1,0,3.6,27,4,37,1092,250.0,8242
169,1,0,4.1,163,4,73,934,500.0,8242
170,1,0,4.2,191,4,73,2295,250.0,6460
171,1,0,3.5,32,1,73,2050,150.0,8242
172,1,0,2.5,247,1,24,1585,500.0,8242
173,1,1,4.1,2339,31,24,1665,1500.0,8242
174,1,0,4.1,337,31,73,741,300.0,8242
175,1,0,3.9,135,1,24,1684,800.0,8242
176,1,0,3.6,172,83,24,1649,700.0,8242
177,1,0,3.6,105,1,24,2364,700.0,8242
178,1,0,4.2,504,1,16,654,550.0,8242
179,1,0,3.2,36,48,73,1199,200.0,8242
180,1,0,3.1,39,48,73,1585,300.0,8242
181,1,0,3.1,5,48,24,1676,500.0,8242
182,1,1,4.3,1129,31,24,1366,1300.0,8242
183,1,0,3.9,56,48,73,1649,350.0,8242
184,1,0,4.3,860,1,37,1058,500.0,8242
185,1,0,3.8,412,31,24,95,700.0,8242
186,1,1,3.9,142,31,24,1493,1000.0,8242
187,1,0,3.0,23,31,73,49,400.0,8242
188,1,0,3.6,143,31,24,2163,750.0,8242
189,1,1,2.8,80,31,24,2154,500.0,8242
190,1,0,3.6,16,29,24,2149,400.0,8242
191,1,0,4.4,181,31,11,328,250.0,8242
192,1,0,3.8,70,31,73,1995,200.0,8242
193,1,0,3.8,164,4,73,2037,600.0,8242
194,1,0,3.6,58,48,73,514,650.0,8242
195,0,0,3.8,148,4,26,1646,550.0,8242
196,0,0,3.9,206,4,73,2216,450.0,8242
197,0,0,3.6,16,56,73,2149,300.0,8242
198,0,0,3.7,217,4,24,1765,450.0,8242
199,0,0,3.6,46,4,73,98,450.0,8242
200,0,0,3.8,148,4,73,1199,150.0,8242
201,0,0,3.4,30,4,37,1035,250.0,8242
202,0,0,3.6,8,56,24,1938,800.0,8242
203,0,0,3.3,4,31,73,2149,250.0,8242
204,0,0,3.5,15,4,5,222,400.0,8242
205,1,0,3.4,9,83,73,2278,200.0,8242
206,1,0,3.7,31,56,73,2221,300.0,222
207,1,0,2.9,177,31,24,1672,700.0,8242
208,1,0,3.7,22,4,83,1522,250.0,8242
209,1,0,3.5,10,48,11,1379,100.0,4903
210,1,0,3.7,136,1,73,2085,600.0,8242
211,1,0,2.9,35,48,73,1649,250.0,8242
212,1,0,4.1,185,31,73,1383,200.0,8242
213,1,0,3.2,17,31,16,597,900.0,8242
214,1,0,3.8,155,56,24,2238,400.0,8242
215,1,0,3.8,42,1,73,2224,300.0,4753
216,1,0,3.8,286,4,24,1585,600.0,8242
217,1,0,3.8,160,1,24,1649,700.0,8242
218,1,0,3.8,59,1,24,1649,750.0,8242
219,1,0,3.5,90,31,24,2114,500.0,8242
220,1,0,3.7,51,48,73,2216,350.0,8242
221,1,0,4.0,89,31,73,2159,200.0,8242
222,1,0,3.6,18,1,73,1182,250.0,8242
223,1,0,3.9,40,4,24,1764,600.0,8242
224,1,0,2.5,35,4,73,1092,200.0,8242
225,1,0,3.4,89,31,73,1748,250.0,8242
226,1,0,3.2,11,4,73,293,150.0,8242
227,1,0,3.6,62,1,76,1341,600.0,8242
228,1,0,3.9,33,31,37,1035,300.0,8242
229,1,0,3.8,32,31,83,1065,250.0,8242
230,1,0,4.1,139,31,24,1760,550.0,8242
231,1,0,3.2,154,86,73,1092,300.0,8242
232,1,0,3.6,14,1,0,230,350.0,8242
233,1,0,3.7,237,1,73,2198,200.0,5145
234,1,0,3.9,388,1,24,420,650.0,8242
235,1,0,3.9,128,48,24,2195,500.0,147
236,1,1,4.1,1875,31,24,1588,1200.0,8242
237,1,0,3.8,90,1,16,475,650.0,8242
238,1,0,3.1,7,48,73,1333,250.0,4039
239,1,0,3.7,38,83,24,2221,400.0,6107
240,1,0,4.2,179,1,36,2018,600.0,8242
241,1,0,4.0,43,4,37,1058,250.0,8242
242,1,0,4.3,275,4,73,2149,100.0,4426
243,1,0,3.7,323,31,24,845,850.0,8242
244,1,0,3.1,28,83,24,2224,400.0,4433
245,1,0,3.9,18,4,73,2206,200.0,8242
246,1,0,3.3,6,4,73,2295,100.0,8242
247,1,0,4.3,322,31,24,2149,400.0,8242
248,1,0,2.6,157,31,16,492,450.0,8242
249,1,0,3.9,543,4,73,2198,300.0,4446
250,1,0,3.7,180,1,16,668,500.0,8242
251,1,0,4.2,444,4,73,2149,100.0,6363
252,1,0,3.9,134,31,73,2315,400.0,6814
253,1,0,3.8,577,31,24,1945,900.0,8242
254,1,0,4.2,60,1,73,2238,200.0,156
255,1,0,3.9,144,31,24,1748,550.0,8242
256,1,0,4.1,787,1,24,816,800.0,8242
257,1,0,3.6,16,4,73,2149,200.0,7393
258,1,0,3.6,84,1,73,2224,250.0,162
259,1,0,3.6,95,1,73,2262,150.0,5320
260,1,1,4.0,349,1,24,2109,1200.0,8242
261,1,0,3.7,248,48,73,1819,400.0,8242
262,1,0,4.1,216,4,16,548,500.0,8242
263,1,0,4.0,324,1,16,629,700.0,8242
264,1,0,2.6,231,48,73,1751,400.0,7231
265,1,0,3.4,102,83,24,2226,400.0,1171
266,1,0,3.9,133,1,16,604,800.0,8242
267,1,0,2.8,45,1,24,2045,800.0,8242
268,1,0,3.9,149,48,73,1136,300.0,8242
269,1,0,3.8,75,1,73,1129,200.0,8242
270,1,0,4.0,53,67,36,1517,600.0,8242
271,1,1,4.2,815,31,24,1649,900.0,8242
272,1,1,4.0,633,1,24,1649,800.0,8242
273,1,0,3.5,56,31,37,1304,400.0,8242
274,1,0,3.0,82,1,73,2238,300.0,6470
275,1,0,3.7,35,31,73,1092,200.0,8242
276,1,0,3.6,20,4,73,1385,150.0,474
277,1,0,3.1,14,48,73,2194,250.0,8242
278,1,0,3.9,70,1,37,1147,400.0,8242
279,1,0,3.9,91,31,16,600,300.0,8242
280,1,0,3.6,45,31,73,333,200.0,8242
281,1,0,3.4,7,1,73,1649,250.0,8242
282,1,0,3.8,28,1,73,1092,150.0,8242
283,1,0,3.6,24,1,24,1649,600.0,8242
284,1,0,3.8,36,4,37,1066,200.0,8242
285,1,0,3.5,11,31,73,1092,200.0,8242
286,1,0,3.8,77,48,16,559,650.0,8242
287,1,0,3.2,8,1,83,1531,100.0,8242
288,1,0,3.7,14,31,73,2149,100.0,470
289,1,0,3.8,210,48,24,1700,600.0,8242
290,1,0,4.1,130,31,16,641,650.0,8242
291,1,0,4.1,30,31,11,328,100.0,8242
292,1,0,3.8,144,1,16,720,700.0,8242
293,1,0,3.4,11,4,6,1930,800.0,8242
294,1,0,3.7,133,31,24,843,700.0,8242
295,1,0,4.0,136,31,73,2198,350.0,2764
296,1,0,3.1,4,4,73,2224,200.0,8242
297,1,0,3.5,11,4,84,1530,200.0,8242
298,1,0,3.8,74,4,73,2224,300.0,8242
299,1,0,3.7,30,4,73,2245,300.0,8242
300,1,0,3.0,7,4,73,2168,200.0,8242
301,1,0,3.8,75,1,23,680,200.0,166
302,1,0,3.7,54,4,16,506,600.0,8242
303,1,0,3.6,23,4,56,289,100.0,8242
304,1,0,3.2,119,1,24,1649,400.0,8242
305,1,0,3.7,73,1,73,366,400.0,8242
306,1,0,3.4,58,4,16,597,400.0,8242
307,1,0,3.6,129,1,24,1491,600.0,8242
308,1,0,3.6,24,1,73,358,250.0,8242
309,1,0,3.0,175,48,73,778,400.0,8242
310,1,0,3.7,21,56,73,2149,300.0,8242
311,1,0,3.5,41,79,55,2036,400.0,8242
312,1,0,3.6,35,31,73,2128,300.0,8242
313,1,0,4.1,176,4,24,86,800.0,8242
314,1,0,3.5,45,1,11,304,300.0,8242
315,1,0,3.7,47,31,77,1145,400.0,8242
316,1,1,3.7,36,31,24,805,650.0,8242
317,1,0,3.8,52,48,14,293,400.0,6505
318,1,0,2.7,123,1,73,1092,200.0,8242
319,1,0,3.6,59,48,24,1585,700.0,8242
320,1,0,3.2,4,48,73,2160,300.0,8242
321,1,0,3.8,101,1,73,366,400.0,8242
322,1,0,3.7,54,1,13,1046,400.0,8242
323,1,0,3.6,22,4,73,1092,200.0,8242
324,1,0,3.1,31,1,85,2072,250.0,8242
325,1,0,3.0,29,48,16,600,500.0,8242
326,1,0,3.4,6,31,11,283,100.0,8242
327,1,0,3.0,22,4,73,2224,250.0,7388
328,1,0,2.9,11,1,73,1585,500.0,8242
329,1,0,3.9,101,4,73,2149,150.0,8242
330,1,1,4.1,442,31,71,942,1200.0,8242
331,1,0,3.5,155,4,73,366,400.0,8242
332,1,0,3.4,12,1,14,299,150.0,8242
333,1,0,3.6,15,4,73,2149,100.0,8242
334,1,0,3.5,10,4,73,2149,200.0,8242
335,1,0,3.8,25,1,73,2149,300.0,8242
336,1,0,3.8,61,1,73,1649,300.0,8242
337,1,0,3.7,23,83,73,836,300.0,8242
338,1,0,3.8,25,4,73,2100,350.0,8242
339,1,0,3.7,40,48,73,2231,200.0,3811
340,1,0,3.3,4,4,73,2062,100.0,8242
341,1,0,3.4,8,4,73,1199,150.0,8242
342,1,0,3.5,32,48,73,1649,300.0,8242
